EPS,SEDE,TIPOINTERRUPCION,TIPOSERVICIO,MOTIVOINTERRUPCION,FECHAINICIO,HORAINICIO,FECHAFIN,HORAFIN,DEPARTAMENTO,PROVINCIA,DISTRITO,NUMCONEXDOM,UNIDADESUSO,NUMCAMIONESPUNTOS,Cluster
SEDAPAL ,ATE,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-04-18 11:35:00,11:35,2024-04-18 18:35:00,18:35,LIMA,LIMA,CIENEGUILLA,1026.0,1095.0,0.0,1
SEDAPAL ,COMAS,PROGRAMADA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,2024-04-25 12:00:00,12:00,2024-04-25 20:00:00,20:00,LIMA,LIMA,CARABAYLLO,2721.0,2927.0,0.0,1
SEDACUSCO,SEDACUSCO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-04-18 11:00:00,11:00,2024-04-18 18:00:00,18:00,CUSCO,CUSCO,CUSCO,100.0,100.0,0.0,1
SEDAPAL ,SJL,IMPREVISTA,AGUA POTABLE,CORTE DE SERVICIO DE ELECTRICIDAD,2024-04-18 10:40:00,10:40,2024-04-18 15:55:00,15:55,LIMA,LIMA,SAN JUAN DE LURIGANCHO,99.0,103.0,0.0,1
SEDALIB,TRUJILLO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-04-18 10:30:00,10:30,2024-04-18 14:15:00,14:15,LA LIBERTAD,TRUJILLO,TRUJILLO,20207.0,23742.0,0.0,1
SEDAPAL ,CALLAO,PROGRAMADA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,2024-04-26 10:00:00,10:00,2024-04-26 16:00:00,16:00,CALLAO,CALLAO,CALLAO,3184.0,12728.0,0.0,1
SEDACUSCO,SEDACUSCO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-04-18 10:30:00,10:30,2024-04-18 13:00:00,13:00,CUSCO,CUSCO,CUSCO,100.0,100.0,0.0,1
EPS EMAPAT,EMAPAT,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA POR TERCERO,2024-04-18 10:30:00,10:30,2024-04-18 12:00:00,12:00,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,98.0,98.0,0.0,1
SEDACUSCO,SEDACUSCO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-04-18 09:30:00,09:30,2024-04-18 13:00:00,13:00,CUSCO,CUSCO,CUSCO,100.0,100.0,0.0,1
SEDAPAR,SEDAPAR,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-04-18 09:45:00,09:45,2024-04-18 13:00:00,13:00,AREQUIPA,AREQUIPA,MARIANO MELGAR,320.0,320.0,0.0,1
SEDAPAL ,SURQUILLO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-04-18 09:30:00,09:30,2024-04-18 16:00:00,16:00,LIMA,LIMA,BARRANCO,10092.0,15855.0,0.0,1
SEDALIB,TRUJILLO,IMPREVISTA,AGUA POTABLE,CAMBIO DE VÁLVULA,2024-04-18 05:00:00,05:00,2024-04-18 15:15:00,15:15,LA LIBERTAD,TRUJILLO,HUANCHACO,1644.0,1946.0,0.0,1
SEDAPAL ,COMAS,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-04-18 09:20:00,09:20,2024-04-18 17:00:00,17:00,LIMA,LIMA,COMAS,21263.0,32111.0,0.0,1
EMAPA CAÑETE,EMAPA CAÑETE,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA POR TERCERO,2024-04-17 23:00:00,23:00,2024-04-18 05:00:00,05:00,LIMA,CAÑETE,SAN VICENTE DE CAÑETE,232.0,232.0,0.0,1
SEDAPAR,SEDAPAR,PROGRAMADA,AGUA POTABLE,EJECUCIÓN DE EMPALME,2024-04-26 08:00:00,08:00,2024-04-26 13:00:00,13:00,AREQUIPA,AREQUIPA,MIRAFLORES,1498.0,1498.0,0.0,1
SEDACUSCO,SEDACUSCO,PROGRAMADA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-04-30 08:00:00,08:00,2024-05-01 04:00:00,04:00,CUSCO,CUSCO,CUSCO,3000.0,3000.0,3.0,1
SEDALIB,TRUJILLO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-04-17 09:10:00,09:10,2024-04-17 17:10:00,17:10,LA LIBERTAD,TRUJILLO,TRUJILLO,3291.0,3723.0,0.0,1
SEDAPAL ,Equipo de Distribución Primaria,IMPREVISTA,AGUA POTABLE,OTROS,2024-04-18 08:00:00,08:00,2024-04-18 11:30:00,11:30,LIMA,LIMA,MAGDALENA DEL MAR,22727.0,37565.0,0.0,1
SEDAPAL ,COMAS,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-04-18 08:20:00,08:20,2024-04-18 16:00:00,16:00,LIMA,LIMA,CARABAYLLO,3536.0,4890.0,0.0,1
SEDACUSCO,SEDACUSCO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-04-18 06:30:00,06:30,2024-04-18 12:00:00,12:00,CUSCO,CUSCO,CUSCO,100.0,100.0,0.0,1
SEDAPAL ,ATE,IMPREVISTA,AGUA POTABLE,CAMBIO DE VÁLVULA,2024-04-18 06:50:00,06:50,2024-04-18 14:30:00,14:30,LIMA,LIMA,ATE,6880.0,10323.0,0.0,1
SEDACUSCO,SEDACUSCO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-04-18 04:00:00,04:00,2024-04-18 04:00:00,04:00,CUSCO,CUSCO,SAN SEBASTIAN,100.0,100.0,0.0,1
SEDAPAL ,VES,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-04-18 01:00:00,01:00,2024-04-18 11:00:00,11:00,LIMA,LIMA,VILLA EL SALVADOR,73874.0,105886.0,0.0,1
SEDAPAL ,COMAS,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-04-17 23:30:00,23:30,2024-04-18 06:00:00,06:00,LIMA,LIMA,COMAS,17768.0,27011.0,0.0,1
SEDAPAL ,ATE,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,2024-04-17 20:30:00,20:30,2024-04-17 23:55:00,23:55,LIMA,LIMA,SAN LUIS,7782.0,12494.0,0.0,1
SEDAPAL ,COMAS,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-04-17 20:10:00,20:10,2024-04-18 03:00:00,03:00,LIMA,LIMA,CARABAYLLO,6355.0,9179.0,0.0,1
AGUA TUMBES,TUMBES,IMPREVISTA,AGUA POTABLE,OTROS,2024-04-17 22:00:00,22:00,2024-04-19 22:00:00,22:00,TUMBES,TUMBES,TUMBES,906.0,906.0,1.0,1
SEDAPAL ,SURQUILLO,PROGRAMADA,AGUA POTABLE,EJECUCIÓN DE EMPALME,2024-04-25 12:00:00,12:00,2024-04-25 23:00:00,23:00,LIMA,LIMA,SANTIAGO DE SURCO,113.0,271.0,0.0,1
SEDAPAL ,SURQUILLO,PROGRAMADA,AGUA POTABLE,EJECUCIÓN DE EMPALME,2024-04-25 12:00:00,12:00,2024-04-25 23:00:00,23:00,LIMA,LIMA,BARRANCO,1022.0,2555.0,0.0,1
SEDACUSCO,SEDACUSCO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,2024-04-17 16:20:00,16:20,2024-04-17 19:00:00,19:00,CUSCO,CUSCO,SAN JERONIMO,100.0,100.0,0.0,1
SEDAPAL ,COMAS,PROGRAMADA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,2024-04-24 12:00:00,12:00,2024-04-24 20:00:00,20:00,LIMA,LIMA,CARABAYLLO,1516.0,1575.0,0.0,1
SEDAPAL ,SURQUILLO,PROGRAMADA,AGUA POTABLE,EJECUCIÓN DE EMPALME,2024-04-25 12:00:00,12:00,2024-04-25 23:00:00,23:00,LIMA,LIMA,SANTIAGO DE SURCO,639.0,1533.0,0.0,1
SEDACUSCO,SEDACUSCO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA POR TERCERO,2024-04-17 15:40:00,15:40,2024-04-17 18:00:00,18:00,CUSCO,CUSCO,WANCHAQ,100.0,100.0,0.0,1
SEDAM HUANCAYO,EPS SEDAM HUANCAYO,PROGRAMADA,AGUA POTABLE,CORTE DE SERVICIO DE ELECTRICIDAD,2024-01-23 06:00:00,06:00,2024-01-23 09:10:00,09:10,JUNIN,HUANCAYO,EL TAMBO,250.0,300.0,0.0,1
EMUSAP ABANCAY,EMUSAP ABANCAY,PROGRAMADA,AGUA POTABLE,OTROS,2024-04-24 08:00:00,08:00,2024-04-24 14:05:00,14:05,APURIMAC,ABANCAY,ABANCAY,300.0,300.0,0.0,1
SEDAM HUANCAYO,EPS SEDAM HUANCAYO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA POR TERCERO,2024-01-10 09:15:00,09:15,2024-01-10 10:20:00,10:20,JUNIN,HUANCAYO,HUANCAYO,14.0,15.0,0.0,1
SEDAPAL ,ATE,PROGRAMADA,AGUA POTABLE,TRABAJOS DE MEJORAMIENTO/REHABILITACIÓN,2024-04-25 10:00:00,10:00,2024-04-25 18:00:00,18:00,LIMA,LIMA,ATE,864.0,916.0,0.0,1
SEDAPAL ,VES,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA POR TERCERO,2024-04-17 14:20:00,14:20,2024-04-17 23:00:00,23:00,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,3332.0,4766.0,0.0,1
SEDAPAL ,SURQUILLO,IMPREVISTA,AGUA POTABLE,CAMBIO DE VÁLVULA,2024-04-17 14:15:00,14:15,2024-04-17 20:15:00,20:15,LIMA,LIMA,SAN ISIDRO,1964.0,3139.0,0.0,1
